Harvest Treatment,SampleID,Plot,Sample No.,Depth (cm),Wet Weight (g),Tin Number,Tin Weight (g),Weight on 3/3/24 (with tin),3/7/24,Dry Weight (g) (soil + tin),Calculated Soil Dry Weight (g),Calculated Water Weight (g),GWC (%) ,Notes
90 Day,90day-1A1-15,1A,1,15,175.28,95,32.18,,,147.41,115.23,60.05,52.1%,https://margenot.cropsciences.illinois.edu/wp-content/uploads/2021/09/GWC-Calculations-UIUC-Soils-Lab-Aug-2021.pdf
90 Day,90day-1A1-30,1A,1,30,142.92,2,31.99,,,123.8,91.81,110,119.8%,Outlier
90 Day,90day-1A1-60,1A,1,60,179.91,20,31.87,,,153.6,121.73,58.18,47.8%,
90 Day,90day-1A2-15,1A,2,15,154.78,4,32.74,,,133,100.26,54.52,54.4%,
90 Day,90day-1A2-30,1A,2,30,146.08,99,31.72,,,125.6,93.88,52.2,55.6%,
90 Day,90day-1A2-60,1A,2,60,170.07,61,31.37,,,144.67,113.3,56.77,50.1%,
90 Day,90day-1B1-15,1B,1,15,164.8,90,31.97,,,138.5,106.53,58.27,54.7%,
90 Day,90day-1B1-30,1B,1,30,175.67,58,31.84,,,149.87,118.03,57.64,48.8%,
90 Day,90day-1B1-60,1B,1,60,146.96,46,32.27,,,126.42,94.15,52.81,56.1%,
90 Day,90day-1B2-15,1B,2,15,167.35,102,31.97,,,137.66,105.69,61.66,58.3%,
90 Day,90day-1B2-30,1B,2,30,214.15,93,32.29,,,179.2,146.91,67.24,45.8%,
90 Day,90day-1B2-60,1B,2,60,204.06,110,32.23,,,170.16,137.93,66.13,47.9%,
90 Day,90day-1C1-15,1C,1,15,183.66,109,32.54,,,149.63,117.09,66.57,56.9%,
90 Day,90day-1C1-30,1C,1,30,181.91,62,32.39,,,153.49,121.1,60.81,50.2%,
90 Day,90day-1C1-60,1C,1,60,179.43,15,31.95,,,149.82,117.87,61.56,52.2%,
90 Day,90day-1C2-15,1C,2,15,153.99,91,31.95,,,129.32,97.37,56.62,58.1%,
90 Day,90day-1C2-30,1C,2,30,158.96,86,31.82,,,131.6,99.78,59.18,59.3%,
90 Day,90day-1C2-60,1C,2,60,162.31,30,32.41,,,134.52,102.11,60.2,59.0%,
90 Day,90day-2A1-15,2A,1,15,175.14,37,32.43,,,149.24,116.81,58.33,49.9%,
90 Day,90day-2A1-30,2A,1,30,142.81,107,32.19,,,122.47,90.28,52.53,58.2%,
90 Day,90day-2A1-60,2A,1,60,219.54,92,32.27,,,189.62,157.35,62.19,39.5%,
90 Day,90day-2A2-15,2A,2,15,162.72,14,31.87,,,86.4,54.53,108.19,198.4%,outlier
90 Day,90day-2A2-30,2A,2,30,129.58,10,32.36,,,169.91,137.55,-7.97,-5.8%,negative value
90 Day,90day-2A2-60,2A,2,60,148.89,3,32.21,,,128.8,96.59,52.3,54.1%,
90 Day,90day-2B1-15,2B,1,15,146.59,87,31.92,,,123.5,91.58,55.01,60.1%,
90 Day,90day-2B1-30,2B,1,30,154.41,88,31.65,,,129.78,98.13,56.28,57.4%,
90 Day,90day-2B1-60,2B,1,60,175.41,40,31.84,,,153.08,121.24,54.17,44.7%,
90 Day,90day-2B2-15,2B,2,15,130.94,223,31.97,,,110.27,78.3,52.64,67.2%,
90 Day,90day-2B2-30,2B,2,30,161.08,5,32.48,,,139.81,107.33,53.75,50.1%,
90 Day,90day-2B2-60,2B,2,60,149.55,103,32.11,,,129.31,97.2,52.35,53.9%,
90 Day,90day-2C1-15,2C,1,15,119.77,47,32.94,,,100.52,67.58,52.19,77.2%,
90 Day,90day-2C1-30,2C,1,30,151,51,31.75,,,126.49,94.74,56.26,59.4%,
90 Day,90day-2C1-60,2C,1,60,150.43,25,32.09,,,127.92,95.83,54.6,57.0%,
90 Day,90day-2C2-15,2C,2,15,173.47,39,32.01,,,145.54,113.53,59.94,52.8%,
90 Day,90day-2C2-30,2C,2,30,160.5,41,32.31,,,139.2,106.89,53.61,50.2%,
90 Day,90day-2C2-60,2C,2,60,142.04,80,32.23,,,120.92,88.69,53.35,60.2%,
90 Day,90day-3A1-15,3A,1,15,201.75,111,32.25,,,174.8,142.55,59.2,41.5%,
90 Day,90day-3A1-30,3A,1,30,196.09,97,31.99,,,171.23,139.24,56.85,40.8%,
90 Day,90day-3A1-60,3A,1,60,196.38,31,32.12,,,170.2,138.08,58.3,42.2%,
90 Day,90day-3A2-15,3A,2,15,168.23,105,31.42,,,145.04,113.62,54.61,48.1%,
90 Day,90day-3A2-30,3A,2,30,176.12,75,32.04,,,151.9,119.86,56.26,46.9%,
90 Day,90day-3A2-60,3A,2,60,139.3,33,32.27,,,120.71,88.44,50.86,57.5%,
90 Day,90day-3B1-15,3B,1,15,203.75,101,31.95,,,179.1,147.15,56.6,38.5%,
90 Day,90day-3B1-30,3B,1,30,155.74,54,31.89,,,139,107.11,48.63,45.4%,
90 Day,90day-3B1-60,3B,1,60,133.38,13,32.13,,,119.19,87.06,46.32,53.2%,
90 Day,90day-3B2-15,3B,2,15,172.66,106,31.89,,,151.27,119.38,53.28,44.6%,
90 Day,90day-3B2-30,3B,2,30,195.95,81,31.95,,,169.55,137.6,58.35,42.4%,
90 Day,90day-3B2-60,3B,2,60,197.77,98,32.17,,,174.6,142.43,55.34,38.9%,
90 Day,90day-3C1-15,3C,1,15,168.64,65,32.14,,,147.9,115.76,52.88,45.7%,
90 Day,90day-3C1-30,3C,1,30,180.21,42,32.12,,,159.95,127.83,52.38,41.0%,
90 Day,90day-3C1-60,3C,1,60,124.16,83,32.55,,,105.42,72.87,51.29,70.4%,
90 Day,90day-3C2-15,3C,2,15,199.69,66,32.02,,,175.26,143.24,56.45,39.4%,
90 Day,90day-3C2-30,3C,2,30,179.39,73,31.79,,,157.1,125.31,54.08,43.2%,
90 Day,90day-3C2-60,3C,2,60,172.45,71,32.19,,,147.9,115.71,56.74,49.0%,
90 Day,90day-4C1-15,4C,1,15,153.48,7,32.11,,,136,103.89,49.59,47.7%,
90 Day,90day-4C1-30,4C,1,30,185.39,35,31.74,,,162.69,130.95,54.44,41.6%,
90 Day,90day-4C1-60,4C,1,60,193.64,108,32.34,,,162.36,130.02,63.62,48.9%,
90 Day,90day-4C2-15,4C,2,15,208.23,38,32.51,,,180.78,148.27,59.96,40.4%,
90 Day,90day-4C2-30,4C,2,30,180.05,11,31.83,,,156.3,124.47,55.58,44.7%,
90 Day,90day-4C2-60,4C,2,60,166.91,23,31.77,,,139.8,108.03,58.88,54.5%,
90 Day,90day-5A1-15,5A,1,15,189.07,3,32.2,,,181.39,149.19,39.88,26.7%,has a duplicate
90 Day,90day-5A1-15,5A,1,15,135.28,47,32.47,,,137.19,104.72,30.56,29.2%,has a duplicate
90 Day,90day-5A1-30,5A,1,30,136.64,87,31.89,,,138.64,106.75,29.89,28.0%,has a duplicate
90 Day,90day-5A1-30,5A,1,30,156.7,97,31.96,,,155.06,123.1,33.6,27.3%,has a duplicate
90 Day,90day-5A1-60,5A,1,60,202.75,9,31.8,,,195.63,163.83,38.92,23.8%,has a duplicate
90 Day,90day-5A1-60,5A,1,60,117.81,50,31.26,,,122.53,91.27,26.54,29.1%,has a duplicate
90 Day,90day-5A2-15,5A,2,15,121.36,58,31.83,,,125.23,93.4,27.96,29.9%,
