"UC Gill Tract Weather Station"
"12/18/23 12:00 AM : 6 Month"
"","","","","","","","","","","","","","","","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower","Gill Tract Tower"
"","Inside Temp/Hum","Inside Temp/Hum","Inside Temp/Hum","Inside Temp/Hum","Inside Temp/Hum","Inside Temp/Hum","Inside Temp/Hum","Inside Temp/Hum","Inside Temp/Hum","Inside Temp/Hum","Barometer","Barometer","Barometer","Barometer","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless","Vantage Pro2, Wireless"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date & Time","Inside Temp - °F","High Inside Temp - °F","Low Inside Temp - °F","Inside Hum - %","High Inside Hum - %","Low Inside Hum - %","Inside Dew Point - °F","Inside Wet Bulb - °F","Inside Heat Index - °F","Inside High Heat Index - °F","Barometer - in Hg","High Bar - in Hg","Low Bar - in Hg","Absolute Pressure - in Hg","Temp - °F","High Temp - °F","Low Temp - °F","Hum - %","High Hum - %","Low Hum - %","Dew Point - °F","High Dew Point - °F","Low Dew Point - °F","Wet Bulb - °F","High Wet Bulb - °F","Low Wet Bulb - °F","Avg Wind Speed - mph","Prevailing Wind Dir","Avg Wind Dir","Wind Run - mi","High Wind Speed - mph","High Wind Direction","Wind Chill - °F","Low Wind Chill - °F","Heat Index - °F","ET - in","High Heat Index - °F","Thw Index - °F","High Thw Index - °F","Low Thw Index - °F","Thsw Index - °F","High Thsw Index - °F","Low Thsw Index - °F","Rain - in","High Rain Rate - in","Solar Rad - W/m^2","High Solar Rad - W/m^2","Solar Energy - Ly","UV Index","High UV Index","UV Dose - MEDs","Heating Degree Days","Cooling Degree Days"
"12/18/23 6:00 PM","67","71","62","72","92","71","58","62","68","71","29.78","29.79","29.78","29.73","60","60","60","93","93","93","58","58","58","59","59","59","1","SE","ESE","0.1","7","S","60","60","61","0.00","61","61","61","61","58","58","58","0.00","0.00","0","0","0.00","0","0","0.0","0.029","0.000"
"12/18/23 6:15 PM","61","67","61","80","80","72","54","57","61","68","29.79","29.79","29.78","29.74","60","60","60","92","93","92","58","58","58","59","59","59","1","S","SSE","0.3","7","S","60","60","61","--","61","61","61","61","58","58","58","0.00","0.00","0","0","0.00","0","0","0.0","0.047","0.000"
"12/18/23 6:30 PM","59","61","59","84","84","80","54","56","59","61","29.78","29.79","29.78","29.74","60","61","60","92","92","92","58","58","58","59","59","59","1","SSW","S","0.2","4","SW","60","60","61","--","61","61","61","61","58","58","58","0.00","0.00","0","0","0.00","0","0","0.0","0.046","0.000"
"12/18/23 6:45 PM","59","59","59","85","85","84","54","56","59","59","29.79","29.79","29.78","29.74","60","61","60","92","92","92","58","58","58","59","59","59","1","E","ESE","0.3","5","ENE","61","60","61","--","61","61","61","61","58","58","58","0.00","0.00","0","0","0.00","0","0","0.0","0.047","0.000"
"12/18/23 7:00 PM","59","59","59","85","85","85","55","56","59","59","29.79","29.79","29.78","29.74","61","61","60","92","92","92","58","58","58","59","59","59","1","ESE","ESE","0.2","4","ENE","61","60","61","0.00","61","61","61","61","58","59","58","0.00","0.00","0","0","0.00","0","0","0.0","0.046","0.000"
"12/18/23 7:15 PM","59","59","59","85","86","85","55","56","59","59","29.79","29.79","29.78","29.74","60","61","60","91","92","91","58","58","58","59","59","59","1","SSW","SSE","0.2","4","ESE","60","60","61","--","61","61","61","61","58","58","58","0.00","0.00","0","0","0.00","0","0","0.0","0.047","0.000"
"12/18/23 7:30 PM","59","59","59","85","86","85","54","56","59","59","29.78","29.79","29.78","29.73","60","61","60","91","91","90","58","58","58","59","59","59","1","S","S","0.3","5","SSW","60","60","61","--","61","61","61","61","58","58","58","0.00","0.00","0","0","0.00","0","0","0.0","0.047","0.000"
"12/18/23 7:45 PM","58","59","58","84","85","84","53","55","58","59","29.78","29.78","29.78","29.73","60","60","60","91","91","91","58","58","58","59","59","59","1","E","ESE","0.3","6","ESE","60","60","61","--","61","61","61","61","58","58","58","0.00","0.00","0","0","0.00","0","0","0.0","0.048","0.000"
"12/18/23 8:00 PM","58","58","58","84","84","84","53","55","57","58","29.78","29.78","29.78","29.73","60","60","60","90","91","90","57","58","57","59","59","58","1","ENE","ENE","0.2","4","SW","60","60","61","0.00","61","61","61","60","58","58","58","0.00","0.00","0","0","0.00","0","0","0.0","0.048","0.000"
"12/18/23 8:15 PM","57","58","57","85","85","84","53","55","57","58","29.78","29.78","29.78","29.73","60","60","60","89","90","89","57","57","57","58","59","58","1","E","ESE","0.2","4","SE","60","60","61","--","61","61","61","61","58","58","58","0.00","0.00","0","0","0.00","0","0","0.0","0.048","0.000"
"12/18/23 8:30 PM","57","57","57","85","85","85","53","55","57","57","29.78","29.78","29.78","29.73","60","60","60","89","89","89","57","57","57","59","59","58","1","ESE","ENE","0.2","4","E","60","60","61","--","61","61","61","61","58","58","58","0.00","0.00","0","0","0.00","0","0","0.0","0.047","0.000"
"12/18/23 8:45 PM","57","57","57","86","86","85","53","55","57","57","29.78","29.78","29.78","29.73","61","61","60","88","89","88","57","58","57","59","59","59","1","E","ESE","0.3","5","SSW","61","60","61","--","61","61","61","61","58","58","58","0.00","0.00","0","0","0.00","0","0","0.0","0.045","0.000"
"12/18/23 9:00 PM","57","57","57","86","87","86","53","55","57","57","29.78","29.78","29.78","29.73","61","61","61","88","89","88","57","57","57","59","59","59","1","SE","SSE","0.3","6","E","61","61","61","0.00","61","61","61","61","58","58","58","0.01","0.01","0","0","0.00","0","0","0.0","0.044","0.000"
"12/18/23 9:15 PM","57","57","57","87","87","86","53","55","57","57","29.78","29.78","29.78","29.74","60","61","60","89","89","89","57","57","57","58","59","58","1","SE","SSE","0.3","12","SSE","60","60","61","--","61","61","61","61","58","58","58","0.01","0.07","0","0","0.00","0","0","0.0","0.048","0.000"
"12/18/23 9:30 PM","57","57","57","86","87","86","53","55","57","57","29.79","29.79","29.78","29.74","60","61","60","87","88","87","57","57","57","58","58","58","2","S","S","0.5","7","SSE","60","60","61","--","61","61","61","61","58","58","58","0.00","0.05","0","0","0.00","0","0","0.0","0.047","0.000"
"12/18/23 9:45 PM","57","57","57","86","86","86","53","55","57","57","29.79","29.80","29.79","29.74","60","60","60","88","88","87","57","57","56","58","58","58","1","S","S","0.3","8","S","60","60","60","--","61","60","61","60","58","58","58","0.00","0.00","0","0","0.00","0","0","0.0","0.047","0.000"
