z6-07590,Port 1,Port 2,Port 3,Port 4,Port 5,Port 6,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
12/20/23 14:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8145,99.79,22.5
12/20/23 14:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8138,99.80,23.6
12/20/23 14:50,-0.053,0.013,#N/A,#N/A,#N/A,#N/A,100,8144,99.80,23.7
12/20/23 15:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8020,99.80,23.9
12/20/23 15:10,#N/A,#N/A,#N/A,#N/A,#N/A,-0.063,100,7960,99.80,23.5
12/20/23 15:20,#N/A,#N/A,#N/A,#N/A,#N/A,-0.054,100,7941,99.82,22.8
12/20/23 15:30,#N/A,#N/A,#N/A,#N/A,-0.071,-0.051,100,7925,99.83,22.4
12/20/23 15:40,#N/A,#N/A,#N/A,-0.074,-0.068,-0.041,100,7908,99.84,22.1
12/20/23 15:50,#N/A,#N/A,#N/A,-0.072,-0.066,-0.038,100,7897,99.84,21.9
12/20/23 16:00,#N/A,#N/A,-0.074,-0.071,-0.065,-0.037,100,7886,99.83,21.7
12/20/23 16:10,#N/A,#N/A,-0.072,-0.070,-0.064,-0.035,100,7880,99.83,21.5
12/20/23 16:20,#N/A,#N/A,-0.071,-0.068,-0.063,-0.034,100,7871,99.84,21.4
12/20/23 16:30,#N/A,#N/A,-0.070,-0.068,-0.062,-0.034,100,7865,99.85,21.3
12/20/23 16:40,#N/A,#N/A,-0.069,-0.067,-0.062,-0.033,100,7853,99.86,21.2
12/20/23 16:50,#N/A,#N/A,-0.069,-0.067,-0.062,-0.032,100,7848,99.86,21.1
12/20/23 17:00,#N/A,#N/A,-0.068,-0.067,-0.061,-0.032,100,7843,99.88,21.0
12/20/23 17:10,#N/A,#N/A,-0.068,-0.066,-0.060,-0.031,100,7840,99.90,21.0
12/20/23 17:20,#N/A,#N/A,-0.068,-0.066,-0.060,-0.031,100,7819,99.92,20.9
12/20/23 17:30,#N/A,#N/A,-0.068,-0.065,-0.059,-0.031,100,7822,99.94,20.9
12/20/23 17:40,#N/A,#N/A,-0.067,-0.065,-0.060,-0.031,100,7821,99.96,20.8
12/20/23 17:50,#N/A,#N/A,-0.067,-0.065,-0.059,-0.030,100,7817,99.96,20.8
12/20/23 18:00,#N/A,#N/A,-0.067,-0.065,-0.059,-0.030,100,7812,99.96,20.8
12/20/23 18:10,#N/A,#N/A,-0.066,-0.065,-0.059,-0.030,100,7808,99.95,20.7
12/20/23 18:20,#N/A,#N/A,-0.066,-0.064,-0.059,-0.029,100,7808,99.95,20.7
12/20/23 18:30,#N/A,#N/A,-0.067,-0.064,-0.059,-0.030,96,7773,99.93,20.8
12/20/23 18:40,#N/A,#N/A,-0.066,-0.064,-0.059,-0.030,97,7779,99.91,20.7
12/20/23 18:50,#N/A,#N/A,-0.066,-0.064,-0.058,-0.029,97,7780,99.91,20.7
12/20/23 19:00,#N/A,#N/A,-0.065,-0.064,-0.058,-0.029,97,7780,99.92,20.6
12/20/23 19:10,#N/A,#N/A,-0.065,-0.064,-0.058,-0.029,97,7776,99.91,20.6
12/20/23 19:20,#N/A,#N/A,-0.065,-0.063,-0.058,-0.029,97,7776,99.90,20.6
12/20/23 19:30,#N/A,#N/A,-0.065,-0.063,-0.058,-0.029,97,7776,99.92,20.6
12/20/23 19:40,#N/A,#N/A,-0.065,-0.063,-0.058,-0.029,95,7761,99.96,20.6
12/20/23 19:50,#N/A,#N/A,-0.065,-0.063,-0.057,-0.029,95,7764,100.00,20.6
