z6-07506,Port 1,Port 2,Port 3,Port 4,Port 5,Port 6,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
12/21/23 17:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8116,100.57,23.2
12/21/23 17:40,-0.042,-0.053,-0.060,-0.059,-0.049,-0.043,100,8152,100.56,24.1
12/21/23 17:50,#N/A,#N/A,#N/A,#N/A,-0.037,#N/A,100,7979,100.56,24.4
12/21/23 18:00,#N/A,#N/A,#N/A,#N/A,#N/A,-0.057,100,7907,100.58,24.2
12/21/23 18:10,#N/A,#N/A,#N/A,#N/A,#N/A,-0.035,100,7897,100.58,23.5
12/21/23 18:20,#N/A,#N/A,#N/A,#N/A,#N/A,-0.032,100,7879,100.59,23.1
12/21/23 18:30,#N/A,#N/A,#N/A,#N/A,#N/A,-0.030,100,7867,100.60,22.8
12/21/23 18:40,#N/A,#N/A,#N/A,#N/A,#N/A,-0.029,87,7699,100.61,22.7
12/21/23 18:50,#N/A,#N/A,#N/A,#N/A,#N/A,-0.029,93,7745,100.63,22.6
12/21/23 19:00,#N/A,#N/A,#N/A,#N/A,#N/A,-0.028,94,7757,100.63,22.4
12/21/23 19:10,#N/A,#N/A,#N/A,#N/A,#N/A,-0.027,59,7457,100.64,22.3
12/21/23 19:20,#N/A,#N/A,#N/A,#N/A,#N/A,-0.027,66,7520,100.63,22.3
12/21/23 19:30,#N/A,-0.073,#N/A,#N/A,#N/A,-0.027,69,7542,100.61,22.1
12/21/23 19:40,#N/A,-0.072,#N/A,#N/A,#N/A,-0.026,70,7555,100.61,22.0
12/21/23 19:50,#N/A,-0.072,-0.073,#N/A,#N/A,-0.026,71,7563,100.59,21.9
12/21/23 20:00,#N/A,-0.071,-0.073,#N/A,-0.073,-0.025,72,7569,100.59,21.8
12/21/23 20:10,#N/A,-0.071,-0.073,#N/A,-0.073,-0.025,73,7575,100.58,21.7
