z6-07592,Port 1,Port 2,Port 3,Port 4,Port 5,Port 6,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
12/21/23 18:15,-0.062,-0.056,-0.065,-0.054,#N/A,#N/A,100,8127,100.53,24.5
12/21/23 18:20,-0.060,-0.054,-0.069,-0.071,#N/A,#N/A,100,8124,100.54,24.8
12/21/23 18:25,0.129,-0.053,-0.054,-0.057,0.112,#N/A,100,8106,100.54,24.8
12/21/23 18:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8014,100.54,24.7
12/21/23 18:35,#N/A,#N/A,#N/A,#N/A,#N/A,-0.071,100,7933,100.55,24.5
12/21/23 18:40,#N/A,-0.073,#N/A,-0.072,#N/A,-0.066,100,7925,100.56,24.2
12/21/23 18:45,#N/A,-0.068,#N/A,-0.068,#N/A,-0.065,100,7919,100.57,23.8
12/21/23 18:50,#N/A,-0.065,#N/A,-0.065,#N/A,-0.064,100,7905,100.58,23.5
12/21/23 18:55,-0.072,-0.064,#N/A,-0.063,#N/A,-0.063,100,7897,100.58,23.3
12/21/23 19:00,-0.071,-0.062,#N/A,-0.063,#N/A,-0.062,100,7887,100.57,23.1
12/21/23 19:05,-0.070,-0.062,#N/A,-0.062,#N/A,-0.062,100,7879,100.58,23.0
12/21/23 19:10,-0.069,-0.060,#N/A,-0.061,#N/A,-0.062,100,7874,100.58,22.8
12/21/23 19:15,-0.068,-0.059,#N/A,-0.060,#N/A,-0.062,100,7869,100.58,22.7
12/21/23 19:20,-0.067,-0.059,#N/A,-0.059,#N/A,-0.061,100,7862,100.56,22.6
12/21/23 19:25,-0.066,-0.058,#N/A,-0.059,#N/A,-0.061,100,7857,100.56,22.5
12/21/23 19:30,-0.066,-0.058,#N/A,-0.058,#N/A,-0.060,100,7852,100.56,22.4
12/21/23 19:35,-0.065,-0.058,#N/A,-0.058,#N/A,-0.060,100,7810,100.56,22.3
12/21/23 19:40,-0.065,-0.057,#N/A,-0.057,#N/A,-0.060,100,7817,100.56,22.2
12/21/23 19:45,-0.065,-0.057,#N/A,-0.058,#N/A,-0.059,100,7815,100.54,22.2
12/21/23 19:50,-0.064,-0.056,#N/A,-0.057,#N/A,-0.060,100,7817,100.53,22.1
12/21/23 19:55,-0.063,-0.056,#N/A,-0.057,#N/A,-0.059,100,7814,100.54,22.0
12/21/23 20:00,-0.063,-0.056,#N/A,-0.056,#N/A,-0.060,100,7814,100.53,21.9
12/21/23 20:05,-0.063,-0.055,#N/A,-0.056,#N/A,-0.059,100,7811,100.53,21.9
12/21/23 20:10,-0.062,-0.055,#N/A,-0.055,#N/A,-0.059,100,7808,100.52,21.8
12/21/23 20:15,-0.062,-0.055,#N/A,-0.055,#N/A,-0.060,100,7804,100.51,21.8
12/21/23 20:20,-0.062,-0.054,#N/A,-0.055,#N/A,-0.059,100,7801,100.51,21.7
12/21/23 20:25,-0.061,-0.054,#N/A,-0.055,#N/A,-0.059,100,7800,100.51,21.7
12/21/23 20:30,-0.061,-0.054,#N/A,-0.055,#N/A,-0.059,94,7752,100.51,21.6
12/21/23 20:35,-0.061,-0.054,#N/A,-0.054,#N/A,-0.058,94,7757,100.51,21.7
12/21/23 20:40,-0.061,-0.053,#N/A,-0.055,#N/A,-0.059,95,7765,100.52,21.6
12/21/23 20:45,-0.061,-0.054,#N/A,-0.054,#N/A,-0.059,96,7770,100.53,21.6
12/21/23 20:50,-0.061,-0.053,#N/A,-0.054,#N/A,-0.059,96,7769,100.55,21.5
12/21/23 20:55,-0.061,-0.053,#N/A,-0.054,#N/A,-0.058,96,7770,100.56,21.5
12/21/23 21:00,-0.060,-0.053,#N/A,-0.054,#N/A,-0.059,96,7770,100.56,21.5
12/21/23 21:05,-0.060,-0.053,-0.074,-0.053,#N/A,-0.058,91,7726,100.56,21.4
12/21/23 21:10,-0.060,-0.053,-0.074,-0.052,#N/A,-0.058,89,7714,100.56,21.4
12/21/23 21:15,-0.060,-0.053,-0.074,-0.053,#N/A,-0.058,91,7729,100.56,21.4
12/21/23 21:20,-0.060,-0.053,-0.073,-0.053,#N/A,-0.058,92,7733,100.55,21.4
12/21/23 21:25,-0.060,-0.052,-0.073,-0.052,#N/A,-0.058,92,7735,100.53,21.3
12/21/23 21:30,-0.060,-0.052,-0.073,-0.053,#N/A,-0.058,92,7736,100.53,21.3
12/21/23 21:35,-0.060,-0.052,-0.073,-0.052,-0.073,-0.058,92,7738,100.54,21.3
12/21/23 21:40,-0.059,-0.052,-0.073,-0.053,-0.073,-0.057,92,7737,100.55,21.3
12/21/23 21:45,-0.059,-0.051,-0.072,-0.052,-0.073,-0.058,92,7737,100.55,21.3
12/21/23 21:50,-0.059,-0.052,-0.072,-0.051,-0.073,-0.058,92,7735,100.54,21.2
12/21/23 21:55,-0.059,-0.051,-0.072,-0.052,-0.073,-0.057,92,7734,100.54,21.2
12/21/23 22:00,-0.059,-0.051,-0.072,-0.052,-0.073,-0.058,92,7735,100.54,21.2
12/21/23 22:05,-0.059,-0.051,-0.072,-0.052,-0.073,-0.058,92,7734,100.55,21.2
12/21/23 22:10,-0.058,-0.051,-0.072,-0.051,-0.073,-0.057,91,7732,100.56,21.2
12/21/23 22:15,-0.059,-0.051,-0.072,-0.051,-0.072,-0.057,91,7732,100.57,21.2
12/21/23 22:20,-0.058,-0.050,-0.071,-0.051,-0.072,-0.058,91,7729,100.59,21.1
12/21/23 22:25,-0.058,-0.051,-0.071,-0.051,-0.073,-0.058,91,7729,100.59,21.1
12/21/23 22:30,-0.058,-0.050,-0.071,-0.051,-0.072,-0.058,84,7668,100.59,21.1
12/21/23 22:35,-0.058,-0.050,-0.071,-0.051,-0.072,-0.057,83,7664,100.60,21.1
12/21/23 22:40,-0.058,-0.050,-0.071,-0.051,-0.072,-0.057,85,7675,100.59,21.1
12/21/23 22:45,-0.058,-0.050,-0.071,-0.051,-0.072,-0.057,86,7684,100.59,21.1
12/21/23 22:50,-0.059,-0.050,-0.071,-0.050,-0.072,-0.057,86,7689,100.58,21.1
12/21/23 22:55,-0.058,-0.050,-0.071,-0.050,-0.072,-0.057,87,7691,100.58,21.1
12/21/23 23:00,-0.058,-0.050,-0.071,-0.051,-0.072,-0.057,87,7694,100.58,21.1
12/21/23 23:05,-0.058,-0.050,-0.071,-0.051,-0.072,-0.057,87,7694,100.58,21.1
12/21/23 23:10,-0.058,-0.050,-0.071,-0.051,-0.072,-0.057,87,7693,100.57,21.1
12/21/23 23:15,-0.058,-0.050,-0.071,-0.051,-0.072,-0.057,70,7555,100.57,21.1
12/21/23 23:20,-0.058,-0.050,-0.070,-0.051,-0.072,-0.057,79,7627,100.57,21.1
12/21/23 23:25,-0.057,-0.051,-0.071,-0.051,-0.072,-0.057,80,7638,100.56,21.1
12/21/23 23:30,-0.057,-0.050,-0.071,-0.051,-0.072,-0.057,81,7641,100.56,21.1
12/21/23 23:35,-0.057,-0.050,-0.070,-0.051,-0.072,-0.057,81,7647,100.56,21.1
12/21/23 23:40,-0.057,-0.049,-0.070,-0.051,-0.072,-0.057,82,7651,100.57,21.0
12/21/23 23:45,-0.057,-0.049,-0.070,-0.051,-0.071,-0.057,82,7653,100.57,21.0
12/21/23 23:50,-0.057,-0.049,-0.070,-0.051,-0.071,-0.057,82,7655,100.57,21.0
12/21/23 23:55,-0.057,-0.049,-0.071,-0.051,-0.072,-0.057,82,7656,100.57,21.0
12/22/23 0:00,-0.057,-0.049,-0.070,-0.050,-0.072,-0.056,83,7659,100.57,21.0
12/22/23 0:05,-0.058,-0.049,-0.070,-0.050,-0.071,-0.057,83,7659,100.57,21.0
12/22/23 0:10,-0.058,-0.046,-0.070,-0.050,-0.071,-0.056,83,7658,100.58,21.0
12/22/23 0:15,-0.057,-0.040,-0.070,-0.050,-0.071,-0.057,82,7656,100.59,21.0
12/22/23 0:20,-0.056,-0.039,-0.070,-0.050,-0.071,-0.056,66,7520,100.59,21.0
12/22/23 0:25,-0.056,-0.040,-0.070,-0.051,-0.072,-0.056,71,7559,100.60,21.0
12/22/23 0:30,-0.057,-0.040,-0.070,-0.050,-0.071,-0.058,73,7575,100.59,21.0
12/22/23 0:35,-0.057,-0.040,-0.070,-0.050,-0.071,-0.057,74,7584,100.58,21.0
12/22/23 0:40,-0.057,-0.039,-0.070,-0.050,-0.070,-0.057,74,7588,100.57,21.0
12/22/23 0:45,-0.056,-0.039,-0.069,-0.049,-0.071,-0.057,75,7593,100.56,20.9
12/22/23 0:50,-0.057,-0.039,-0.069,-0.050,-0.071,-0.056,75,7596,100.56,20.9
12/22/23 0:55,-0.057,-0.039,-0.069,-0.050,-0.070,-0.056,76,7599,100.55,20.9
12/22/23 1:00,-0.056,-0.038,-0.070,-0.050,-0.071,-0.057,76,7602,100.54,20.9
12/22/23 1:05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,23,7156,100.55,21.0
12/22/23 1:10,-0.061,-0.054,#N/A,-0.055,#N/A,-0.058,0,6075,100.54,21.1
12/22/23 2:25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6119,100.48,20.8
12/22/23 3:05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6005,100.54,20.8
12/22/23 4:05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,5163,100.50,20.8
12/22/23 5:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6401,100.50,20.7
12/22/23 5:35,-0.068,-0.061,#N/A,-0.063,#N/A,-0.061,0,6516,100.50,20.7
12/22/23 5:40,-0.060,-0.053,-0.073,-0.054,#N/A,-0.058,0,6644,100.50,20.6
