z6-07509,Port 1,Port 2,Port 3,Port 4,Port 5,Port 6,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
1/10/24 10:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8279,100.92,20.1
1/10/24 10:40,0.033,-0.044,-0.048,#N/A,#N/A,-0.046,100,8307,100.92,20.5
1/10/24 10:50,#N/A,#N/A,0.021,#N/A,0.015,0.024,100,8346,100.93,20.6
1/10/24 11:00,#N/A,#N/A,#N/A,0.014,#N/A,0.006,100,8387,100.91,20.8
1/25/24 14:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,7967,102.16,16.9
1/25/24 14:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8113,102.16,17.4
1/25/24 14:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8187,102.16,17.8
1/25/24 14:50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8191,102.15,18.2
1/25/24 15:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8202,102.14,18.6
1/25/24 15:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8213,102.12,18.7
1/25/24 15:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8228,102.11,18.7
1/25/24 15:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8238,102.11,18.8
1/25/24 15:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8246,102.10,19.0
1/25/24 15:50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8260,102.10,19.2
1/25/24 16:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8270,102.10,19.0
1/25/24 16:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8276,102.11,18.4
1/25/24 16:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8283,102.11,18.0
1/25/24 16:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8254,102.11,17.8
1/25/24 16:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8253,102.11,17.1
1/25/24 16:50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8244,102.11,16.6
1/25/24 17:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8238,102.10,15.8
1/25/24 17:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8235,102.09,15.1
1/25/24 17:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8234,102.09,14.6
1/25/24 17:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8234,102.08,14.3
1/25/24 17:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8234,102.09,14.1
1/25/24 17:50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8229,102.10,13.8
1/25/24 18:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8222,102.11,13.4
1/25/24 18:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8218,102.11,12.9
1/25/24 18:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8214,102.11,12.4
1/25/24 18:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8209,102.13,11.9
1/25/24 18:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8205,102.15,11.5
1/25/24 18:50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8203,102.15,11.3
1/25/24 19:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8200,102.14,11.2
1/25/24 19:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8198,102.16,10.9
1/25/24 19:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8191,102.16,10.7
1/25/24 19:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8191,102.16,10.8
1/25/24 19:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8190,102.16,10.7
1/25/24 19:50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8191,102.15,10.6
1/25/24 20:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8190,102.15,10.5
1/25/24 20:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8188,102.16,10.3
1/25/24 20:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8187,102.17,10.2
1/25/24 20:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8181,102.17,10.3
